turn,pressure_level,layer,matched_pairs,cosine_distance_mean,cosine_distance_median,cosine_distance_q10,cosine_distance_q90
1,0,0,216,0.0,0.0,0.0,0.0
1,0,7,216,4.214735556447354e-17,0.0,0.0,2.220446049250313e-16
1,0,14,216,2.107367778223677e-17,0.0,0.0,1.1102230246251565e-16
1,0,21,216,2.518561491047809e-17,0.0,0.0,1.1102230246251565e-16
1,0,28,216,4.060537914138304e-17,0.0,0.0,1.1102230246251565e-16
2,0,0,216,0.0,0.0,0.0,0.0
2,0,7,216,3.854941057726238e-17,0.0,0.0,2.220446049250313e-16
2,0,14,216,3.1867512743870234e-17,0.0,0.0,1.6653345369377348e-16
2,0,21,216,2.2615654205327262e-17,0.0,0.0,1.1102230246251565e-16
2,0,28,216,5.088522196198634e-17,0.0,0.0,2.220446049250313e-16
3,0,0,216,0.0,0.0,0.0,0.0
3,0,7,216,3.803541843623222e-17,0.0,0.0,2.220446049250313e-16
3,0,14,216,3.1353520602840066e-17,0.0,0.0,2.220446049250313e-16
3,0,21,216,2.4671622769447922e-17,0.0,0.0,1.1102230246251565e-16
3,0,28,216,5.396917480816733e-17,0.0,0.0,2.220446049250313e-16
4,0,0,216,0.0,0.0,0.0,0.0
4,0,7,216,5.499715909022766e-17,0.0,0.0,2.220446049250313e-16
4,0,14,216,3.1353520602840066e-17,0.0,0.0,2.220446049250313e-16
4,0,21,216,2.6213599192538418e-17,0.0,0.0,1.1102230246251565e-16
4,0,28,216,6.78469626159818e-17,0.0,0.0,2.220446049250313e-16
5,0,0,216,0.0,0.0,0.0,0.0
5,0,7,216,4.677328483374502e-17,0.0,0.0,2.220446049250313e-16
5,0,14,216,3.957739485932271e-17,0.0,0.0,2.220446049250313e-16
5,0,21,216,2.518561491047809e-17,0.0,0.0,1.1102230246251565e-16
5,0,28,216,5.756711979537848e-17,0.0,0.0,2.220446049250313e-16
6,1,0,216,0.0,0.0,0.0,0.0
6,1,7,216,0.019522163024622747,0.019369327835604855,0.017050041994926268,0.02234099456083638
6,1,14,216,0.04317295226613192,0.04291517951110008,0.035305131195426886,0.05029302219308385
6,1,21,216,0.034002380342790586,0.0253357728577292,0.018930046292972125,0.05726070805562267
6,1,28,216,0.028589806091250784,0.019447427304648268,0.012592933082596625,0.04816918931627756
7,1,0,216,0.0,0.0,0.0,0.0
7,1,7,216,0.02166717299850481,0.021221846024522706,0.019163777728216758,0.024491476102066312
7,1,14,216,0.0369893071286023,0.036820585260755434,0.030569997066975607,0.04397098481223394
7,1,21,216,0.0285852827525413,0.020411452889476045,0.01521204615179611,0.041340516372770586
7,1,28,216,0.02161131434903383,0.014388015704498436,0.009347764995270236,0.04132235727853223
8,1,0,216,0.0,0.0,0.0,0.0
8,1,7,216,0.023668448158139493,0.022416019353783234,0.019128797210594295,0.03018702195238604
8,1,14,216,0.03179160707185127,0.030661537634892044,0.025406881192939046,0.03765061464600716
8,1,21,216,0.0207461470492292,0.014718109084505215,0.011412701149584148,0.03356995603614127
8,1,28,216,0.02284174627339098,0.01273162626828006,0.008010566220292448,0.06196704375389317
9,1,0,216,0.0,0.0,0.0,0.0
9,1,7,216,0.02419139212677249,0.023391653263485357,0.019725322546062518,0.02887791082329655
9,1,14,216,0.02875454388094821,0.028026918195420247,0.023069705878478175,0.034145253037109746
9,1,21,216,0.019675183905478223,0.01416042470140172,0.011543858289117526,0.036188303832060564
9,1,28,216,0.02338136516873616,0.011935938229726217,0.006692150707061251,0.05447132159235368
10,2,0,216,0.0,0.0,0.0,0.0
10,2,7,216,0.02338731959637402,0.0219169464267997,0.018384904620948606,0.02967422659070451
10,2,14,216,0.028178640804122426,0.02750368898533123,0.022072051252415736,0.03550007521895082
10,2,21,216,0.020957595398389907,0.016532338743054487,0.01320328219048822,0.039270847900796935
10,2,28,216,0.023261936343375405,0.014133571237709475,0.009714712671772985,0.05233345944248602
11,2,0,216,0.0,0.0,0.0,0.0
11,2,7,216,0.024871576804714485,0.022455840641090685,0.01973076185589101,0.030803724418354828
11,2,14,216,0.02865817372798066,0.027886305111574528,0.022859626852723802,0.036174314381789474
11,2,21,216,0.016683846458515315,0.012830896972598482,0.010432825204215235,0.0312472217956814
11,2,28,216,0.020917989896523454,0.011366448821790276,0.006702569407516068,0.03941222464155225
12,2,0,216,0.0,0.0,0.0,0.0
12,2,7,216,0.024927893365854978,0.02323405664366407,0.01972656404380413,0.031074198782606643
12,2,14,216,0.029920817278952603,0.028772899508988425,0.024118359142448753,0.03725759062783485
12,2,21,216,0.020975822471255165,0.016226396710894764,0.013462650253768027,0.03997778404983615
12,2,28,216,0.029362075272988283,0.016022269581487725,0.009011121245634357,0.050277206233681926
13,2,0,216,0.0,0.0,0.0,0.0
13,2,7,216,0.023955123831097762,0.022176257588111037,0.0186098576560349,0.029209197632589612
13,2,14,216,0.02845721313027381,0.027681579743672413,0.021988529235446752,0.03602923850245676
13,2,21,216,0.0211857583618766,0.016344378239511792,0.011774686414456004,0.04227993403480251
13,2,28,216,0.02888413748004889,0.011336313600627201,0.0067257729720459625,0.04104097067915213
14,3,0,216,0.0,0.0,0.0,0.0
14,3,7,216,0.025079689798342603,0.023086124882249093,0.020110973484620986,0.028228417507766945
14,3,14,216,0.03312756630671879,0.031929462008214116,0.027245760670505714,0.040277173192890536
14,3,21,216,0.023398518989721197,0.019798154002133472,0.01609121994680096,0.03928241963930351
14,3,28,216,0.026889879172146174,0.014069625413961506,0.00988369344054374,0.02994206745172945
15,3,0,216,0.0,0.0,0.0,0.0
15,3,7,216,0.02635827560753544,0.024554294584908265,0.02085247982690358,0.03140144364021741
15,3,14,216,0.027086093665442693,0.025978850804627862,0.021365697190999955,0.03399893625457967
15,3,21,216,0.018997812310858946,0.015436769360173519,0.012188456722999785,0.03406041180129854
15,3,28,216,0.023464782958744664,0.012209019144461042,0.007068148465338209,0.03715805735438993
16,3,0,216,0.0,0.0,0.0,0.0
16,3,7,216,0.029141510655023586,0.026796483977984065,0.023424244036793385,0.034750679326028766
16,3,14,216,0.03165431797808883,0.03085164457066114,0.026098090783139016,0.038269403025058824
16,3,21,216,0.020525641751593243,0.016376638042458258,0.01353684319579146,0.03504268444530473
16,3,28,216,0.02345145642449756,0.009530618644468747,0.006565136078214795,0.024472232402710403
17,3,0,216,0.0,0.0,0.0,0.0
17,3,7,216,0.0305763498939467,0.02773544779943854,0.023926841199947424,0.03697431715088051
