turn,pressure_level,matched_pairs,response_exact_match_rate,pressure_minus_neutral_chars_mean,pressure_minus_neutral_chars_median
1,0,216,1.0,0.0,0.0
2,0,216,1.0,0.0,0.0
3,0,216,1.0,0.0,0.0
4,0,216,1.0,0.0,0.0
5,0,216,1.0,0.0,0.0
6,1,216,0.0,1.8055555555555556,1.0
7,1,216,0.0,10.893518518518519,8.5
8,1,216,0.0,2.7546296296296298,1.0
9,1,216,0.0,1.1481481481481481,-0.5
10,2,216,0.0,10.88888888888889,9.5
11,2,216,0.0,-2.8055555555555554,-4.0
12,2,216,0.0,0.5833333333333334,1.0
13,2,216,0.0,-2.2731481481481484,-3.0
14,3,216,0.0,-4.902777777777778,-3.0
15,3,216,0.0,1.3194444444444444,3.0
16,3,216,0.0,-0.375,2.5
17,3,216,0.0,0.5462962962962963,6.0
18,4,216,0.0,0.18981481481481483,-2.0
19,4,216,0.0,2.884259259259259,6.5
20,4,216,0.0,6.587962962962963,4.5
21,4,216,0.0,3.884259259259259,4.5
22,5,216,0.0,5.912037037037037,12.0
23,5,216,0.0,1.9212962962962963,3.5
24,5,216,0.0,-3.699074074074074,-4.0
25,5,216,0.0,5.962962962962963,6.0
